,date,Country,Businesses_R&D expenditure,Businesses_product development,Consulting Firms_innovation management,Consulting Firms_innovation strategy,Government agencies_government grants,Government agencies_research funding,Innovation Hubs_startup incubation,Innovation Hubs_technology park,Patent Attorneys_patent attorney,Patent Attorneys_patent registration,R&D Employees_R&D jobs,Research Institutions_collaboration with industry,Research Institutions_research grant,Tax Authorities_R&D tax credit,VCs_VC investment,VCs_startup funding,Year,Month,Businesses_R&D expenditure_mean_YTD,Businesses_product development_mean_YTD,Consulting Firms_innovation management_mean_YTD,Consulting Firms_innovation strategy_mean_YTD,Government agencies_government grants_mean_YTD,Government agencies_research funding_mean_YTD,Innovation Hubs_startup incubation_mean_YTD,Innovation Hubs_technology park_mean_YTD,Patent Attorneys_patent attorney_mean_YTD,Patent Attorneys_patent registration_mean_YTD,R&D Employees_R&D jobs_mean_YTD,Research Institutions_collaboration with industry_mean_YTD,Research Institutions_research grant_mean_YTD,Tax Authorities_R&D tax credit_mean_YTD,VCs_VC investment_mean_YTD,VCs_startup funding_mean_YTD
428,2008-06-01,GB,0.0,27.0,0.0,0.0,45.0,0.0,,40.0,32.0,15.0,,,15.0,0.0,0.0,0.0,2008,6,0.0,35.2,0.0,0.0,46.0,0.0,,45.2,28.8,11.0,,,29.0,0.0,0.0,0.0
429,2008-06-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,56.0,2008,6,,0.0,0.0,7.6,,0.0,,0.0,3.8,,,,13.4,,,2.8
430,2008-06-01,KR,,23.0,,10.0,,60.0,,0.0,,58.0,,,57.0,0.0,0.0,0.0,2008,6,,28.0,,7.6,,0.0,,0.0,,0.0,,,0.0,0.0,1.8,0.0
431,2008-06-01,US,23.0,44.0,0.0,10.0,33.0,27.0,0.0,52.0,67.0,12.0,0.0,0.0,40.0,0.0,0.0,0.0,2008,6,2.6,53.2,0.0,20.4,32.4,40.8,0.0,59.0,62.8,17.6,19.6,6.0,46.2,12.4,0.0,0.0
438,2008-07-01,KR,,24.0,,9.0,,20.0,,0.0,,0.0,,,20.0,0.0,0.0,0.0,2008,7,,27.166666666666668,,8.0,,10.0,,0.0,,9.666666666666666,,,9.5,0.0,1.5,0.0
437,2008-07-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,28.0,,,0.0,2008,7,,0.0,0.0,6.333333333333333,,0.0,,0.0,3.1666666666666665,,,,11.166666666666666,,,11.666666666666666
436,2008-07-01,GB,0.0,26.0,0.0,0.0,34.0,0.0,,55.0,12.0,0.0,,,29.0,0.0,0.0,0.0,2008,7,0.0,33.833333333333336,0.0,0.0,45.833333333333336,0.0,,44.333333333333336,29.333333333333332,11.666666666666666,,,26.666666666666668,0.0,0.0,0.0
439,2008-07-01,US,0.0,48.0,0.0,9.0,35.0,27.0,0.0,51.0,62.0,22.0,0.0,24.0,35.0,20.0,0.0,0.0,2008,7,6.0,51.666666666666664,0.0,18.666666666666668,32.5,38.5,0.0,57.833333333333336,63.5,16.666666666666668,16.333333333333332,5.0,45.166666666666664,10.333333333333334,0.0,0.0
435,2008-07-01,DE,,0.0,32.0,0.0,0.0,8.0,,0.0,14.0,,0.0,,0.0,,0.0,0.0,2008,7,,0.0,27.0,6.5,0.0,6.333333333333333,,0.0,14.833333333333334,,0.0,,2.5,,6.833333333333333,10.0
433,2008-07-01,CH,,30.0,,0.0,,,,,0.0,,,,0.0,,,,2008,7,,12.333333333333334,,4.5,,,,,8.833333333333334,,,,3.8333333333333335,,,
432,2008-07-01,CA,,0.0,,,39.0,0.0,,30.0,0.0,11.0,0.0,,,16.0,0.0,16.0,2008,7,,0.0,,,43.166666666666664,0.0,,12.833333333333334,19.333333333333332,11.833333333333334,24.333333333333332,,,0.0,0.0,0.0
434,2008-07-01,CN,,0.0,2.0,0.0,,,,,,,,,,,,,2008,7,,0.0,2.6666666666666665,0.0,,,,,,,,,,,,
440,2008-08-01,CA,,0.0,,,36.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2008,8,,0.0,,,42.57142857142857,0.0,,15.285714285714286,16.571428571428573,11.714285714285714,20.857142857142858,,,2.2857142857142856,0.0,2.2857142857142856
441,2008-08-01,CH,,39.0,,10.0,,,,,29.0,,,,13.0,,,,2008,8,,14.857142857142858,,3.857142857142857,,,,,7.571428571428571,,,,3.2857142857142856,,,
442,2008-08-01,CN,,0.0,6.0,0.0,,,,,,,,,,,,,2008,8,,0.0,2.5714285714285716,0.0,,,,,,,,,,,,
443,2008-08-01,DE,,0.0,15.0,11.0,0.0,27.0,,0.0,12.0,,0.0,,5.0,,0.0,0.0,2008,8,,0.0,27.714285714285715,5.571428571428571,0.0,6.571428571428571,,0.0,14.714285714285714,,0.0,,2.142857142857143,,5.857142857142857,8.571428571428571
444,2008-08-01,GB,0.0,25.0,0.0,0.0,44.0,0.0,,47.0,31.0,0.0,,,32.0,0.0,0.0,0.0,2008,8,0.0,32.714285714285715,0.0,0.0,44.142857142857146,0.0,,45.857142857142854,26.857142857142858,10.0,,,27.0,0.0,0.0,0.0
445,2008-08-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,17.0,,,0.0,2008,8,,0.0,0.0,5.428571428571429,,0.0,,0.0,2.7142857142857144,,,,13.571428571428571,,,10.0
446,2008-08-01,KR,,30.0,,0.0,,42.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2008,8,,26.714285714285715,,8.142857142857142,,11.428571428571429,,0.0,,8.285714285714286,,,11.0,0.0,1.2857142857142858,0.0
447,2008-08-01,US,0.0,48.0,0.0,17.0,33.0,24.0,0.0,58.0,60.0,10.0,21.0,0.0,41.0,10.0,0.0,0.0,2008,8,5.142857142857143,51.142857142857146,0.0,17.285714285714285,32.857142857142854,36.857142857142854,0.0,56.857142857142854,63.285714285714285,17.428571428571427,14.0,7.714285714285714,43.714285714285715,11.714285714285714,0.0,0.0
455,2008-09-01,US,16.0,45.0,0.0,9.0,37.0,35.0,0.0,51.0,61.0,19.0,11.0,0.0,52.0,35.0,0.0,0.0,2008,9,4.5,50.75,0.0,17.25,32.875,35.25,0.0,57.0,62.875,16.5,14.875,6.75,43.375,11.5,0.0,0.0
454,2008-09-01,KR,,23.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,8.0,0.0,2008,9,,27.125,,7.125,,15.25,,0.0,,7.25,,,9.625,0.0,1.125,0.0
453,2008-09-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2008,9,,0.0,0.0,4.75,,0.0,,0.0,2.375,,,,14.0,,,8.75
452,2008-09-01,GB,0.0,26.0,0.0,0.0,61.0,0.0,,45.0,27.0,13.0,,,16.0,0.0,20.0,0.0,2008,9,0.0,31.75,0.0,0.0,44.125,0.0,,46.0,27.375,8.75,,,27.625,0.0,0.0,0.0
451,2008-09-01,DE,,0.0,27.0,0.0,0.0,0.0,,0.0,12.0,,0.0,,9.0,,0.0,0.0,2008,9,,0.0,26.125,6.25,0.0,9.125,,0.0,14.375,,0.0,,2.5,,5.125,7.5
449,2008-09-01,CH,,35.0,,0.0,,,,,13.0,,,,0.0,,,,2008,9,,17.875,,4.625,,,,,10.25,,,,4.5,,,
448,2008-09-01,CA,,0.0,,,42.0,0.0,,21.0,0.0,0.0,55.0,,,0.0,0.0,0.0,2008,9,,0.0,,,41.75,0.0,,13.375,14.5,10.25,18.25,,,2.0,0.0,2.0
450,2008-09-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2008,9,,0.0,3.0,0.0,,,,,,,,,,,,
456,2008-10-01,CA,,0.0,,,44.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2008,10,,0.0,,,41.77777777777778,0.0,,14.222222222222221,12.88888888888889,9.11111111111111,22.333333333333332,,,1.7777777777777777,0.0,1.7777777777777777
457,2008-10-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2008,10,,19.77777777777778,,4.111111111111111,,,,,10.555555555555555,,,,4.0,,,
458,2008-10-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2008,10,,0.0,2.6666666666666665,0.0,,,,,,,,,,,,
459,2008-10-01,DE,,0.0,22.0,0.0,0.0,0.0,,0.0,10.0,,0.0,,0.0,,0.0,0.0,2008,10,,0.0,26.22222222222222,5.555555555555555,0.0,8.11111111111111,,0.0,14.11111111111111,,0.0,,3.2222222222222223,,4.555555555555555,6.666666666666667
460,2008-10-01,GB,0.0,31.0,0.0,0.0,61.0,0.0,,56.0,35.0,13.0,,,35.0,0.0,0.0,0.0,2008,10,0.0,31.11111111111111,0.0,0.0,46.0,0.0,,45.888888888888886,27.333333333333332,9.222222222222221,,,26.333333333333332,0.0,2.2222222222222223,0.0
461,2008-10-01,JP,,0.0,0.0,21.0,,0.0,,0.0,14.0,,,,0.0,,,0.0,2008,10,,0.0,0.0,4.222222222222222,,0.0,,0.0,2.111111111111111,,,,12.444444444444445,,,7.777777777777778
462,2008-10-01,KR,,13.0,,0.0,,0.0,,0.0,,14.0,,,40.0,0.0,0.0,0.0,2008,10,,26.666666666666668,,6.333333333333333,,13.555555555555555,,0.0,,6.444444444444445,,,8.555555555555555,0.0,1.8888888888888888,0.0
463,2008-10-01,US,0.0,50.0,0.0,12.0,31.0,46.0,0.0,46.0,53.0,18.0,23.0,0.0,52.0,41.0,0.0,0.0,2008,10,5.777777777777778,50.111111111111114,0.0,16.333333333333332,33.333333333333336,35.22222222222222,0.0,56.333333333333336,62.666666666666664,16.77777777777778,14.444444444444445,6.0,44.333333333333336,14.11111111111111,0.0,0.0
470,2008-11-01,KR,,0.0,,0.0,,33.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2008,11,,25.3,,5.7,,12.2,,0.0,,7.2,,,11.7,0.0,1.7,0.0
471,2008-11-01,US,0.0,45.0,0.0,13.0,32.0,46.0,0.0,48.0,51.0,19.0,16.0,0.0,47.0,41.0,0.0,0.0,2008,11,5.2,50.1,0.0,15.9,33.1,36.3,0.0,55.3,61.7,16.9,15.3,5.4,45.1,16.8,0.0,0.0
468,2008-11-01,GB,0.0,31.0,0.0,0.0,59.0,0.0,,30.0,25.0,10.0,,,18.0,0.0,15.0,0.0,2008,11,0.0,31.1,0.0,0.0,47.5,0.0,,46.9,28.1,9.6,,,27.2,0.0,2.0,0.0
469,2008-11-01,JP,,0.0,0.0,0.0,,0.0,,0.0,27.0,,,,0.0,,,0.0,2008,11,,0.0,0.0,5.9,,0.0,,0.0,3.3,,,,11.2,,,7.0
466,2008-11-01,CN,,0.0,3.0,0.0,,,,,,,,,,,,,2008,11,,0.0,2.4,0.0,,,,,,,,,,,,
467,2008-11-01,DE,,0.0,44.0,0.0,0.0,0.0,,0.0,17.0,,0.0,,0.0,,13.0,17.0,2008,11,,0.0,25.8,5.0,0.0,7.3,,0.0,13.7,,0.0,,2.9,,4.1,6.0
465,2008-11-01,CH,,43.0,,0.0,,,,,0.0,,,,11.0,,,,2008,11,,17.8,,3.7,,,,,9.5,,,,3.6,,,
464,2008-11-01,CA,,0.0,,,33.0,0.0,,0.0,22.0,8.0,43.0,,,5.0,0.0,0.0,2008,11,,0.0,,,42.0,0.0,,12.8,11.6,8.2,20.1,,,1.6,0.0,1.6
478,2008-12-01,KR,,26.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,15.0,0.0,2008,12,,23.0,,5.181818181818182,,14.090909090909092,,0.0,,6.545454545454546,,,10.636363636363637,0.0,1.5454545454545454,0.0
477,2008-12-01,JP,,0.0,0.0,0.0,,0.0,,0.0,12.0,,,,0.0,,,0.0,2008,12,,0.0,0.0,5.363636363636363,,0.0,,0.0,5.454545454545454,,,,10.181818181818182,,,6.363636363636363
476,2008-12-01,GB,0.0,32.0,0.0,0.0,42.0,0.0,,33.0,20.0,0.0,,,29.0,0.0,0.0,0.0,2008,12,0.0,31.09090909090909,0.0,0.0,48.54545454545455,0.0,,45.36363636363637,27.818181818181817,9.636363636363637,,,26.363636363636363,0.0,3.1818181818181817,0.0
479,2008-12-01,US,11.0,37.0,0.0,14.0,36.0,33.0,0.0,39.0,47.0,14.0,20.0,0.0,41.0,22.0,0.0,0.0,2008,12,4.7272727272727275,49.63636363636363,0.0,15.636363636363637,33.0,37.18181818181818,0.0,54.63636363636363,60.72727272727273,17.09090909090909,15.363636363636363,4.909090909090909,45.27272727272727,19.0,0.0,0.0
474,2008-12-01,CN,,0.0,3.0,0.0,,,,,,,,,,,,,2008,12,,0.0,2.4545454545454546,0.0,,,,,,,,,,,,
473,2008-12-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2008,12,,20.09090909090909,,3.3636363636363638,,,,,8.636363636363637,,,,4.2727272727272725,,,
472,2008-12-01,CA,,0.0,,,27.0,0.0,,15.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2008,12,,0.0,,,41.18181818181818,0.0,,11.636363636363637,12.545454545454545,8.181818181818182,22.181818181818183,,,1.9090909090909092,0.0,1.4545454545454546
475,2008-12-01,DE,,0.0,27.0,0.0,0.0,18.0,,0.0,0.0,,0.0,,0.0,,15.0,0.0,2008,12,,0.0,27.454545454545453,4.545454545454546,0.0,6.636363636363637,,0.0,14.0,,0.0,,2.6363636363636362,,4.909090909090909,7.0
480,2009-01-01,CA,,0.0,,,48.0,0.0,,20.0,32.0,8.0,15.0,,,0.0,0.0,0.0,2009,1,,,,,,,,,,,,,,,,
481,2009-01-01,CH,,0.0,,0.0,,,,,18.0,,,,0.0,,,,2009,1,,,,,,,,,,,,,,,,
482,2009-01-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2009,1,,,,,,,,,,,,,,,,
483,2009-01-01,DE,,0.0,11.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,27.0,,16.0,0.0,2009,1,,,,,,,,,,,,,,,,
484,2009-01-01,GB,0.0,25.0,0.0,0.0,75.0,0.0,,29.0,15.0,0.0,,,18.0,0.0,0.0,0.0,2009,1,,,,,,,,,,,,,,,,
485,2009-01-01,JP,,0.0,0.0,22.0,,0.0,,0.0,16.0,,,,0.0,,,0.0,2009,1,,,,,,,,,,,,,,,,
486,2009-01-01,KR,,14.0,,0.0,,0.0,,0.0,,26.0,,,12.0,0.0,0.0,0.0,2009,1,,,,,,,,,,,,,,,,
487,2009-01-01,US,0.0,46.0,0.0,19.0,59.0,38.0,0.0,45.0,56.0,19.0,47.0,0.0,50.0,23.0,0.0,0.0,2009,1,,,,,,,,,,,,,,,,
493,2009-02-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,13.0,,,0.0,2009,2,,0.0,0.0,22.0,,0.0,,0.0,16.0,,,,0.0,,,0.0
494,2009-02-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,16.0,0.0,2009,2,,14.0,,0.0,,0.0,,0.0,,26.0,,,12.0,0.0,0.0,0.0
492,2009-02-01,GB,0.0,29.0,0.0,0.0,55.0,0.0,,42.0,36.0,7.0,,,18.0,0.0,0.0,0.0,2009,2,0.0,25.0,0.0,0.0,75.0,0.0,,29.0,15.0,0.0,,,18.0,0.0,0.0,0.0
495,2009-02-01,US,0.0,50.0,0.0,17.0,100.0,42.0,0.0,50.0,60.0,12.0,35.0,0.0,62.0,18.0,0.0,0.0,2009,2,0.0,46.0,0.0,19.0,59.0,38.0,0.0,45.0,56.0,19.0,47.0,0.0,50.0,23.0,0.0,0.0
490,2009-02-01,CN,,0.0,4.0,0.0,,,,,,,,,,,,,2009,2,,0.0,0.0,0.0,,,,,,,,,,,,
489,2009-02-01,CH,,48.0,,35.0,,,,,11.0,,,,0.0,,,,2009,2,,0.0,,0.0,,,,,18.0,,,,0.0,,,
488,2009-02-01,CA,,0.0,,,89.0,0.0,,19.0,16.0,0.0,0.0,,,0.0,0.0,0.0,2009,2,,0.0,,,48.0,0.0,,20.0,32.0,8.0,15.0,,,0.0,0.0,0.0
491,2009-02-01,DE,,0.0,0.0,8.0,0.0,13.0,,0.0,0.0,,0.0,,0.0,,0.0,17.0,2009,2,,0.0,11.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,27.0,,16.0,0.0
496,2009-03-01,CA,,0.0,,,96.0,0.0,,19.0,15.0,0.0,0.0,,,0.0,0.0,0.0,2009,3,,0.0,,,68.5,0.0,,19.5,24.0,4.0,7.5,,,0.0,0.0,0.0
497,2009-03-01,CH,,34.0,,24.0,,,,,18.0,,,,7.0,,,,2009,3,,24.0,,17.5,,,,,14.5,,,,0.0,,,
498,2009-03-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2009,3,,0.0,2.0,0.0,,,,,,,,,,,,
499,2009-03-01,DE,,0.0,26.0,12.0,0.0,19.0,,0.0,12.0,,0.0,,6.0,,19.0,0.0,2009,3,,0.0,5.5,4.0,0.0,6.5,,0.0,0.0,,0.0,,13.5,,8.0,8.5
500,2009-03-01,GB,0.0,29.0,0.0,0.0,53.0,0.0,,48.0,27.0,0.0,,,25.0,0.0,22.0,0.0,2009,3,0.0,27.0,0.0,0.0,65.0,0.0,,35.5,25.5,3.5,,,18.0,0.0,0.0,0.0
501,2009-03-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2009,3,,0.0,0.0,11.0,,0.0,,0.0,8.0,,,,6.5,,,0.0
502,2009-03-01,KR,,42.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2009,3,,7.0,,0.0,,0.0,,0.0,,13.0,,,6.0,0.0,8.0,0.0
503,2009-03-01,US,0.0,48.0,0.0,27.0,59.0,50.0,0.0,47.0,47.0,11.0,21.0,19.0,54.0,33.0,0.0,0.0,2009,3,0.0,48.0,0.0,18.0,79.5,40.0,0.0,47.5,58.0,15.5,41.0,0.0,56.0,20.5,0.0,0.0
511,2009-04-01,US,12.0,46.0,0.0,14.0,38.0,51.0,0.0,52.0,60.0,14.0,39.0,0.0,58.0,13.0,0.0,0.0,2009,4,0.0,48.0,0.0,21.0,72.66666666666667,43.333333333333336,0.0,47.333333333333336,54.333333333333336,14.0,34.333333333333336,6.333333333333333,55.333333333333336,24.666666666666668,0.0,0.0
510,2009-04-01,KR,,16.0,,7.0,,0.0,,0.0,,0.0,,,13.0,0.0,22.0,0.0,2009,4,,18.666666666666668,,0.0,,0.0,,0.0,,8.666666666666666,,,4.0,0.0,5.333333333333333,0.0
509,2009-04-01,JP,,0.0,0.0,0.0,,0.0,,0.0,18.0,,,,10.0,,,0.0,2009,4,,0.0,0.0,7.333333333333333,,0.0,,0.0,5.333333333333333,,,,4.333333333333333,,,0.0
508,2009-04-01,GB,0.0,35.0,0.0,0.0,60.0,0.0,,42.0,15.0,12.0,,,37.0,0.0,0.0,0.0,2009,4,0.0,27.666666666666668,0.0,0.0,61.0,0.0,,39.666666666666664,26.0,2.3333333333333335,,,20.333333333333332,0.0,7.333333333333333,0.0
507,2009-04-01,DE,,0.0,53.0,10.0,0.0,7.0,,0.0,8.0,,0.0,,6.0,,0.0,0.0,2009,4,,0.0,12.333333333333334,6.666666666666667,0.0,10.666666666666666,,0.0,4.0,,0.0,,11.0,,11.666666666666666,5.666666666666667
505,2009-04-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2009,4,,27.333333333333332,,19.666666666666668,,,,,15.666666666666666,,,,2.3333333333333335,,,
504,2009-04-01,CA,,0.0,,,86.0,0.0,,7.0,0.0,0.0,20.0,,,8.0,0.0,0.0,2009,4,,0.0,,,77.66666666666667,0.0,,19.333333333333332,21.0,2.6666666666666665,5.0,,,0.0,0.0,0.0
506,2009-04-01,CN,,0.0,3.0,0.0,,,,,,,,,,,,,2009,4,,0.0,1.3333333333333333,0.0,,,,,,,,,,,,
512,2009-05-01,CA,,0.0,,,68.0,0.0,,26.0,19.0,0.0,21.0,,,0.0,0.0,0.0,2009,5,,0.0,,,79.75,0.0,,16.25,15.75,2.0,8.75,,,2.0,0.0,0.0
513,2009-05-01,CH,,0.0,,7.0,,,,,0.0,,,,22.0,,,,2009,5,,20.5,,14.75,,,,,11.75,,,,1.75,,,
514,2009-05-01,CN,,0.0,2.0,0.0,,,,,,,,,,,,,2009,5,,0.0,1.75,0.0,,,,,,,,,,,,
515,2009-05-01,DE,,0.0,33.0,9.0,0.0,10.0,,0.0,10.0,,0.0,,4.0,,0.0,0.0,2009,5,,0.0,22.5,7.5,0.0,9.75,,0.0,5.0,,0.0,,9.75,,8.75,4.25
516,2009-05-01,GB,0.0,33.0,0.0,0.0,52.0,0.0,,41.0,17.0,0.0,,,18.0,0.0,0.0,0.0,2009,5,0.0,29.5,0.0,0.0,60.75,0.0,,40.25,23.25,4.75,,,24.5,0.0,5.5,0.0
517,2009-05-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0,2009,5,,0.0,0.0,5.5,,0.0,,0.0,8.5,,,,5.75,,,0.0
518,2009-05-01,KR,,13.0,,9.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2009,5,,18.0,,1.75,,0.0,,0.0,,6.5,,,6.25,0.0,9.5,0.0
519,2009-05-01,US,0.0,42.0,0.0,27.0,39.0,41.0,0.0,45.0,56.0,17.0,18.0,23.0,40.0,8.0,0.0,0.0,2009,5,3.0,47.5,0.0,19.25,64.0,45.25,0.0,48.5,55.75,14.0,35.5,4.75,56.0,21.75,0.0,0.0
525,2009-06-01,JP,,0.0,0.0,0.0,,0.0,,0.0,16.0,,,,0.0,,,8.0,2009,6,,0.0,0.0,4.4,,0.0,,0.0,6.8,,,,4.6,,,0.0
527,2009-06-01,US,0.0,43.0,0.0,30.0,49.0,30.0,0.0,52.0,56.0,18.0,24.0,0.0,44.0,28.0,0.0,0.0,2009,6,2.4,46.4,0.0,20.8,59.0,44.4,0.0,47.8,55.8,14.6,32.0,8.4,52.8,19.0,0.0,0.0
526,2009-06-01,KR,,26.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,14.0,0.0,2009,6,,17.0,,3.2,,0.0,,0.0,,5.2,,,5.0,0.0,7.6,0.0
524,2009-06-01,GB,0.0,22.0,0.0,0.0,52.0,0.0,,51.0,25.0,12.0,,,21.0,0.0,0.0,0.0,2009,6,0.0,30.2,0.0,0.0,59.0,0.0,,40.4,22.0,3.8,,,23.2,0.0,4.4,0.0
523,2009-06-01,DE,,0.0,32.0,0.0,0.0,0.0,,0.0,14.0,,0.0,,0.0,,0.0,0.0,2009,6,,0.0,24.6,7.8,0.0,9.8,,0.0,6.0,,0.0,,8.6,,7.0,3.4
522,2009-06-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2009,6,,0.0,1.8,0.0,,,,,,,,,,,,
521,2009-06-01,CH,,14.0,,0.0,,,,,14.0,,,,7.0,,,,2009,6,,16.4,,13.2,,,,,9.4,,,,5.8,,,
520,2009-06-01,CA,,0.0,,,100.0,0.0,,24.0,27.0,18.0,0.0,,,0.0,0.0,0.0,2009,6,,0.0,,,77.4,0.0,,18.2,16.4,1.6,11.2,,,1.6,0.0,0.0
534,2009-07-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2009,7,,18.5,,2.6666666666666665,,0.0,,0.0,,4.333333333333333,,,4.166666666666667,0.0,8.666666666666666,0.0
533,2009-07-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,12.0,,,0.0,2009,7,,0.0,0.0,3.6666666666666665,,0.0,,0.0,8.333333333333334,,,,3.8333333333333335,,,1.3333333333333333
532,2009-07-01,GB,0.0,18.0,0.0,0.0,56.0,0.0,,34.0,31.0,5.0,,,28.0,0.0,22.0,0.0,2009,7,0.0,28.833333333333332,0.0,0.0,57.833333333333336,0.0,,42.166666666666664,22.5,5.166666666666667,,,22.833333333333332,0.0,3.6666666666666665,0.0
535,2009-07-01,US,0.0,42.0,0.0,25.0,51.0,32.0,0.0,58.0,63.0,18.0,20.0,0.0,41.0,0.0,0.0,0.0,2009,7,2.0,45.833333333333336,0.0,22.333333333333332,57.333333333333336,42.0,0.0,48.5,55.833333333333336,15.166666666666666,30.666666666666668,7.0,51.333333333333336,20.5,0.0,0.0
530,2009-07-01,CN,,0.0,0.0,0.0,,,,,,,,,,,,,2009,7,,0.0,1.5,0.0,,,,,,,,,,,,
529,2009-07-01,CH,,0.0,,0.0,,,,,0.0,,,,0.0,,,,2009,7,,16.0,,11.0,,,,,10.166666666666666,,,,6.0,,,
528,2009-07-01,CA,,0.0,,,77.0,0.0,,21.0,0.0,0.0,0.0,,,0.0,0.0,11.0,2009,7,,0.0,,,81.16666666666667,0.0,,19.166666666666668,18.166666666666668,4.333333333333333,9.333333333333334,,,1.3333333333333333,0.0,0.0
531,2009-07-01,DE,,0.0,34.0,0.0,0.0,10.0,,0.0,19.0,,0.0,,3.0,,0.0,0.0,2009,7,,0.0,25.833333333333332,6.5,0.0,8.166666666666666,,0.0,7.333333333333333,,0.0,,7.166666666666667,,5.833333333333333,2.8333333333333335
536,2009-08-01,CA,,0.0,,,75.0,0.0,,19.0,0.0,0.0,14.0,,,0.0,0.0,0.0,2009,8,,0.0,,,80.57142857142857,0.0,,19.428571428571427,15.571428571428571,3.7142857142857144,8.0,,,1.1428571428571428,0.0,1.5714285714285714
537,2009-08-01,CH,,0.0,,10.0,,,,,11.0,,,,0.0,,,,2009,8,,13.714285714285714,,9.428571428571429,,,,,8.714285714285714,,,,5.142857142857143,,,
538,2009-08-01,CN,,0.0,2.0,0.0,,,,,,,,,,,,,2009,8,,0.0,1.2857142857142858,0.0,,,,,,,,,,,,
539,2009-08-01,DE,,0.0,16.0,8.0,0.0,12.0,,0.0,8.0,,0.0,,0.0,,0.0,0.0,2009,8,,0.0,27.0,5.571428571428571,0.0,8.428571428571429,,0.0,9.0,,0.0,,6.571428571428571,,5.0,2.4285714285714284
540,2009-08-01,GB,0.0,18.0,0.0,0.0,50.0,0.0,,43.0,18.0,15.0,,,10.0,0.0,0.0,0.0,2009,8,0.0,27.285714285714285,0.0,0.0,57.57142857142857,0.0,,41.0,23.714285714285715,5.142857142857143,,,23.571428571428573,0.0,6.285714285714286,0.0
541,2009-08-01,JP,,0.0,0.0,15.0,,0.0,,0.0,9.0,,,,9.0,,,0.0,2009,8,,0.0,0.0,3.142857142857143,,0.0,,0.0,7.142857142857143,,,,5.0,,,1.1428571428571428
542,2009-08-01,KR,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2009,8,,15.857142857142858,,2.2857142857142856,,0.0,,0.0,,3.7142857142857144,,,3.5714285714285716,0.0,7.428571428571429,0.0
543,2009-08-01,US,0.0,46.0,0.0,13.0,45.0,29.0,0.0,50.0,64.0,17.0,26.0,0.0,41.0,24.0,0.0,0.0,2009,8,1.7142857142857142,45.285714285714285,0.0,22.714285714285715,56.42857142857143,40.57142857142857,0.0,49.857142857142854,56.857142857142854,15.571428571428571,29.142857142857142,6.0,49.857142857142854,17.571428571428573,0.0,0.0
549,2009-09-01,JP,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,21.0,2009,9,,0.0,0.0,4.625,,0.0,,0.0,7.375,,,,5.5,,,1.0
550,2009-09-01,KR,,0.0,,0.0,,0.0,,0.0,,14.0,,,0.0,0.0,0.0,0.0,2009,9,,13.875,,2.0,,0.0,,0.0,,3.25,,,3.125,0.0,6.5,0.0
548,2009-09-01,GB,0.0,20.0,0.0,0.0,69.0,0.0,,50.0,22.0,0.0,,,16.0,0.0,0.0,0.0,2009,9,0.0,26.125,0.0,0.0,56.625,0.0,,41.25,23.0,6.375,,,21.875,0.0,5.5,0.0
